----------------------------------------
Begin Torque Prologue on nid25256
at Sun Nov 27 21:14:30 CST 2016
Job Id:			5803433.bw
Username:		tra307
Group:			TRAIN_bacu
Job name:		CIFAR10
Requested resources:	neednodes=1:ppn=16:xk,nodes=1:ppn=16:xk,walltime=10:00:00
Queue:			normal
Account:		bacu
End Torque Prologue:  0.071 elapsed
----------------------------------------




Train accuracy: 99.898001
Train accuracy: 99.904001
Train accuracy: 99.914001
Train accuracy: 99.870001
Train accuracy: 99.870001
Train accuracy: 99.880001
Train accuracy: 99.924001
Train accuracy: 99.884001
Train accuracy: 99.872001
Train accuracy: 99.878001
Train accuracy: 99.888001
Train accuracy: 99.888001
Train accuracy: 99.872001
Train accuracy: 99.862001
Train accuracy: 99.882001
Train accuracy: 99.820001
Train accuracy: 99.870001
Train accuracy: 99.924000
Train accuracy: 99.908001
Train accuracy: 99.918001
Train accuracy: 99.920001
Train accuracy: 99.924001
Train accuracy: 99.930001
Train accuracy: 99.922001
Train accuracy: 99.912001
Train accuracy: 99.914001
Train accuracy: 99.878001
Train accuracy: 99.912001
Train accuracy: 99.898000
Train accuracy: 99.886001
Train accuracy: 99.918001
Train accuracy: 99.884001
Train accuracy: 99.890000
Train accuracy: 99.906001
Train accuracy: 99.876001
Train accuracy: 99.888001
Train accuracy: 99.890001
Train accuracy: 99.870001
Train accuracy: 99.872001
Train accuracy: 99.862001
Train accuracy: 99.878001
Train accuracy: 99.914001
Train accuracy: 99.926001
Train accuracy: 99.930001
Train accuracy: 99.938001
Train accuracy: 99.936001
Train accuracy: 99.936000
Train accuracy: 99.920001
Train accuracy: 99.926001
Train accuracy: 99.934001
Train accuracy: 99.914001
Train accuracy: 99.884001
Train accuracy: 99.920001
Train accuracy: 99.910001
Train accuracy: 99.880001
Train accuracy: 99.914001
Train accuracy: 99.906001
Train accuracy: 99.882001
Train accuracy: 99.894001
Train accuracy: 99.914001
Train accuracy: 99.904001
Train accuracy: 99.914001
Train accuracy: 99.922001
Train accuracy: 99.920000
Train accuracy: 99.900001
Train accuracy: 99.924000
Train accuracy: 99.930001
Train accuracy: 99.900000
